time_step,open_price,close_price,cash,stock_held,net_worth,action,action_type,quantity
146,117.5,115.4,8969.645047924954,837.9489484731753,105711.78884762008,0.9147447953339733,buy,370.84889656796804
147,115.95,115.4,51222.40468627564,471.4406755698501,105668.95370172939,0.5148556132610814,sell,366.6969717449361
148,116.5,116.0,36757.71961648113,596.0116655263979,105909.52305237825,0.6527963794801515,buy,124.48967046531595
149,116.05,115.35,82408.04889807818,199.86060088050317,105507.66523495113,0.21850469594060407,sell,396.23762551382174
150,115.5,116.15,6361.134394788998,853.9367400086087,105621.85769034862,0.9390551777907528,buy,653.4619255429881
151,116.15,116.95,78835.44552153659,233.6130291515559,106229.03613879578,0.25718998074667254,sell,620.4832519003048
152,117.5,118.75,104764.52655816494,15.044304328810142,106576.99273328386,0.016762634159861012,sell,218.57238861031877
153,117.9,115.7,69488.08636569367,319.6354797261982,106505.15256900828,0.3472303838103923,buy,304.48541208664955
154,116.0,117.15,28887.107554918774,665.861842443932,106933.38281561779,0.7294795393951923,buy,345.973797670132
155,117.9,117.05,40551.07504013824,566.1126486946982,106826.23621298102,0.6202922416699578,sell,99.81106740022938
156,117.0,118.65,104049.36620489054,30.403815843707434,107720.3408077642,0.033488686749456265,sell,535.7267730362831
157,119.0,118.9,42644.728735873636,546.3272319483506,107664.37990870736,0.6033407514513106,buy,515.6121384830792
158,118.0,118.05,42484.16509830431,547.686005640303,107138.65846737643,0.6034640893466565,buy,1.3579537208237298
159,117.8,115.5,12493.604352206836,807.0851411030868,105741.8987497593,0.88156478084444,buy,259.17045832077827
160,115.0,116.5,15235.789013052256,783.5235137173713,106519.02329071645,0.8569407278448938,sell,23.581818303836712
161,117.0,120.55,28975.46821503416,669.4344831523234,109689.54859168136,0.7357157357299284,sell,114.17296766010872
162,120.5,119.35,58713.85769373456,420.0154832668041,108872.47377926396,0.4604363820145023,sell,249.5338414674323
163,119.95,118.9,51194.15364588026,483.1962389942919,108653.69865415758,0.5287627897444146,buy,63.147348094831045
164,119.85,119.85,82665.6699738823,220.3425106058948,109105.22288934613,0.24204203242313505,sell,262.91735003904626
165,120.8,119.95,66677.46081647815,353.49996721684647,109095.75412105938,0.38867068117617576,buy,133.1057022115869
166,119.0,119.05,86805.45148905195,184.25898602083487,108761.63191364372,0.20168906902019923,sell,169.2751152519491
167,119.8,123.6,59011.78966483915,408.9021569616482,109579.86216122714,0.4612189284021795,buy,224.53956125823925
168,124.0,125.2,51100.885701829146,472.02516784062544,110206.3397164375,0.5362445678325326,buy,63.08916150728817
169,125.4,126.0,90316.34829857263,160.47979233223225,110576.05684974795,0.18286466717959615,sell,311.60234614979686
170,126.85,121.3,92037.81848627227,146.2737463216739,109782.5471084724,0.1616195460585168,sell,14.20834198526586
171,119.0,124.85,61943.81954137606,387.0741869294939,110300.09571453326,0.4381339102662247,buy,240.69493776918273
172,124.0,122.7,84435.96827706906,203.5805976948396,109437.82227762497,0.2282514291429203,sell,183.53547190863569
173,120.1,117.05,30846.46431859713,660.9575134614475,108265.07723725004,0.7145894033874476,buy,457.0500790692471
174,119.7,119.7,107377.7951063113,20.958025354174197,109963.0786799324,0.022813799549907143,sell,640.0140889273072
175,119.0,121.2,91004.71410836448,155.91449625906807,109917.90777923721,0.17191772776963776,buy,134.93326949506812
176,121.5,119.85,68616.62449107805,342.52879657941054,109691.06648501378,0.3742517744200342,buy,186.5444595873155
177,120.85,121.35,5616.788377035569,861.1682627090163,110182.49395598951,0.9484516544114616,buy,518.1475616699122
178,120.25,121.55,45663.96444283063,531.3676594253949,110291.7907093165,0.58560785519734,sell,329.9937371075531
179,125.0,120.55,2200.602085815721,891.5496786257293,109720.33578656198,0.9795478020355717,buy,359.82920369509407
180,120.0,120.5,79828.48967727309,246.68998414737234,109632.33836021609,0.27114393010653437,sell,645.0345442702851
181,120.1,117.2,652.5911727582861,921.5773706901368,108740.55581934513,0.9932712503725227,buy,674.2170403044726
182,117.5,118.05,21104.95006260095,748.1522819856538,109444.79978272894,0.8069764581207974,sell,173.5650386683152
183,117.2,115.9,88009.30411538598,170.3151346330809,107815.79954473823,0.18308563482649076,sell,577.9429410335223
184,117.4,117.0,44527.20078720702,541.5857727827856,107936.17486745644,0.5870648602602193,buy,371.05267820440065
185,117.1,114.4,79003.55946740095,239.91733266264873,106484.61319355769,0.2577512565756076,sell,301.74619553964703
186,116.0,117.45,33036.9511421196,630.8980703181933,107181.85018862905,0.6913388622090887,buy,390.7104374772281
187,117.45,116.1,39223.55781955873,577.5578508787786,106284.21710606184,0.630897684649754,sell,53.37387166035762
188,117.0,119.35,54646.51137854124,448.2039174817661,108155.08732194096,0.4945965915798106,sell,129.41791141157813
189,119.0,121.6,33313.299519128224,623.4662526746408,109148.10774432399,0.694592860032233,buy,175.1405992262172
190,120.6,118.95,39732.733396327945,569.4447332384352,107474.61027477676,0.6302460724959589,sell,54.05556628666045
191,119.5,118.95,8598.072117867156,830.9290352202768,107468.18441503981,0.9197048342953092,buy,261.2438136052166
192,120.35,119.6,45422.52032365267,522.7241061625776,107977.18473021225,0.578990860460466,sell,308.38337689477237
193,119.9,118.4,95893.33557775797,96.02362820061825,107313.05449330187,0.10594421743593951,sell,426.74568441017664
194,115.35,116.9,47413.15120897737,510.3243349257204,107118.49771441024,0.5569244904075171,buy,414.06997251513377
195,117.25,115.55,316.6169332488789,917.5029138174344,106381.12810964436,0.9965814762025743,buy,406.7727922624841
196,114.55,114.9,537.468373616892,915.5788710595502,105737.7017308721,0.9949148748523179,sell,1.9259570166436788
197,114.7,116.9,27503.007479926277,684.6761196656466,107568.63840047832,0.7440703868624798,sell,231.07455929346077
198,117.6,121.15,8588.768999216576,840.6426333888999,110451.51937741938,0.9220683935280124,buy,155.8227019305001
199,122.1,124.45,86894.94570700894,210.79481282593133,113206.74472446516,0.23173013692812106,sell,629.9937752846715
200,124.95,122.0,71609.4942019195,335.9602335125352,112611.91287177257,0.3639681401664848,buy,125.11986446122336
201,121.5,122.95,65411.253825561966,386.32256232936726,112915.8049122857,0.4206528844681484,buy,50.34114375794678
202,122.5,123.0,77789.0213096503,285.58957337221227,112928.92899207413,0.3110586263263643,sell,100.76432282232571
203,122.2,123.05,78470.58745152324,280.0450923460993,112930.81831310102,0.3051385718081695,sell,5.546172861134664
204,124.4,125.1,38754.33311974352,597.2039872623719,113504.22850402026,0.6582152911058863,buy,316.9501360819287
205,123.55,122.15,75806.47344309308,293.56723283828296,111702.80016384226,0.3210236219557525,sell,303.73422899475304
206,122.8,121.5,2749.2879828782607,894.260247315286,111474.89223294446,0.9746824407935769,buy,600.1075295434849
207,122.45,119.95,8910.651755933615,842.8427291463847,110015.80464834682,0.9189496516819599,sell,51.46476827931292
208,120.25,120.25,61119.00155607594,408.2430583725562,110262.48993578639,0.4452214692221186,sell,434.79316387777396
209,121.0,124.4,46172.04627075979,528.2753997073962,111904.43801762193,0.5872641057654154,buy,119.96185064924316
210,124.0,124.0,3691.8205270114995,870.5156251573358,111678.19583447692,0.9665623330761719,buy,341.9094289391562
211,122.55,127.0,78332.00171735664,282.2093567602368,114247.30492199314,0.31371058015785713,sell,588.4908262978684
212,126.0,126.15,53220.25938536353,481.0730561365095,113932.71207266052,0.5326597157883624,buy,198.75777269468227
213,126.0,125.25,4634.60973789468,868.5949127028482,113474.65966646135,0.9587295801177559,buy,387.1503278995065
214,125.0,126.4,110565.55231329813,29.694757995898726,114425.00670353469,0.032802422467025805,sell,838.9276726642317
215,126.0,125.5,8088.234153708807,845.4313573295478,114292.24444178342,0.9283362651864171,buy,814.979321465648
216,125.4,124.05,74098.08082356451,312.77579431102185,112963.99403043921,0.3434708343777866,sell,532.8385146691919
217,125.8,125.4,31391.285926732227,653.0001225890619,113320.16543016664,0.722609387851014,buy,339.97847898445104
218,125.7,127.75,50819.98152042695,500.7641637833308,114812.0515874849,0.5571943105169096,sell,152.32078381583392
219,128.65,124.9,62520.74996497478,406.98929648570623,113365.42557696498,0.4483991734901015,sell,93.81691587061499
220,125.4,123.15,112209.06800005573,3.107395623569573,112641.4818271895,0.0033972899222834974,sell,403.88327296604825
221,124.4,126.55,50327.82892819289,491.60537786150434,112602.30891621846,0.5524989777488718,buy,488.22808760211603
222,126.9,126.75,35776.62320936317,606.2931021201232,112638.81057213857,0.6822484213335083,buy,114.60947873979711
223,126.75,126.35,72491.1238486672,315.42446823650454,112381.75666224073,0.3546294589562409,sell,290.97178446988005
224,126.35,125.6,97437.85085435213,116.60521103595252,112108.43705917217,0.1306379331502544,sell,198.84523053738315
225,125.7,125.25,104752.03362985299,58.15008704568794,112042.65353660518,0.06500469394981712,sell,58.45892384770937
226,126.0,126.3,83754.13823576935,224.2381193149519,112096.38962372337,0.25265108505764655,buy,166.04606994769605
227,126.8,127.3,1809.0126200256345,867.31166490325,112299.65082456273,0.9831622283017337,buy,642.4412999682557
228,129.5,127.75,79766.16395917641,256.4687175398335,112608.07781141582,0.2909549590268581,sell,611.0206751481384
229,128.0,128.15,110482.29455991666,16.539903819829874,112632.63011190607,0.01881860232159438,sell,239.93332884493452
230,128.15,128.95,84566.92679195633,217.3113523632239,112615.11515748371,0.24883248441428718,buy,200.72149008505355
231,129.0,127.7,67655.13986091252,349.6127778840133,112317.58648874002,0.39749386655725794,buy,132.24883651560808
232,127.1,127.5,89391.94891569266,178.95734555144432,112230.76904112421,0.20330486686274418,sell,170.6901274125188
233,127.8,127.3,92908.34124857245,151.30681731008596,112173.21900439152,0.1717108416298535,sell,27.655276136834146
234,128.9,134.7,48891.31965958206,477.758551092194,113289.36954024102,0.5680504454503085,buy,326.2662927293152
235,135.9,134.3,3367.4871819069085,816.3911208878128,113054.29307126373,0.9698112699366569,buy,338.3041601130634
236,135.4,135.9,87579.17080010433,196.11165364870158,114315.04051056068,0.2331414450086855,sell,620.4240800904126
237,136.8,134.9,57116.017214279316,421.70632277368344,114034.63287731417,0.49886759405253567,buy,225.48212725516453
238,135.2,134.8,80255.6124338635,249.875773978715,113962.02952417184,0.29556558858217263,sell,171.8813359922594
239,135.0,136.6,59019.257035309434,405.1842678168978,114388.64315935597,0.4838607177697015,buy,155.2333461588785
240,136.6,140.75,112064.86847537928,27.928778294907943,116048.94273053779,0.03387342833562823,sell,377.2682684587784
241,141.0,141.1,9758.693389910128,752.2659229749562,116005.61909279079,0.9149963817430523,buy,723.674378813504
242,140.2,141.4,44992.18557110331,502.84045662322126,116129.09489856893,0.6122637968428675,sell,249.57818053479275
243,141.4,140.0,50533.496340812446,463.22004499938936,115389.84949835429,0.5620148269700224,sell,39.642678882615144
244,140.9,137.9,87170.52018680953,197.27590037617966,114411.54054622824,0.23777624645201945,sell,266.00737982368406
245,138.2,137.45,1481.3544981266896,820.0737332358108,114286.09269351543,0.9862891623703034,buy,622.1835741067339
246,137.6,139.15,53775.67101033963,443.88499320427405,115594.61447788976,0.5343380146502333,sell,376.38975197601894
247,139.5,140.1,490.3633424692307,823.8427062112557,115963.95855825843,0.9953123761484185,buy,379.5795363928128
248,139.6,139.85,42508.38085094656,523.0913469973594,115704.76580611334,0.632249885023453,sell,300.94150922617996
249,140.0,139.95,96953.60821163516,133.66850249734955,115715.01486322701,0.16166360905380583,sell,389.4858000024998
250,141.0,139.3,74116.62090530885,297.4457683494179,115573.63060951595,0.35850907609769567,buy,163.718550215802
251,140.3,137.15,29772.572382072118,620.4479467997444,114911.30803443152,0.7405227332203688,buy,322.76298799430447
252,138.35,137.05,5172.648317414034,799.7646101776513,114804.9634909771,0.954729974139677,buy,179.14546438451737
253,137.1,135.5,109641.1815386789,28.00736790759629,113540.75299648578,0.0334241076558367,sell,771.7830375672048
254,137.4,136.05,73423.22500430004,293.95205559314746,113451.58394250736,0.3525043527264822,buy,265.8509410255576
255,136.0,135.95,52124.391594073284,450.46221266833976,113386.00696218843,0.5401048987701189,buy,156.42562517264867
